Burn sample, txid: 22b22cf9920eccf2454c5eec243ca092d2254de368a02bf08062c931fae95e1b, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 30000, 30000]
Burn sample, txid: bc9ec4914349fa5bbb33b7637fb15046405c0892d62c87db67154fba13b1536c, most_recent_burn: 30000, median_burn: 15000, all_burns: [1, 1, 1, 30000, 30000, 30000]
Burn sample, txid: c699c3d1f179af539862aae96c1549ac544441292788962a1904da460088f235, most_recent_burn: 110000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 110000]
Burn sample, txid: 89a926c67efc71103ec5bcc403905c3aa32321ebd7d301e3766a28dc2dc0bc84, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 30000]
Burn sample, txid: 2aa3a20fae607de6e2db0e70608a07a5e76f38312036ca324af3042a35f9ec2a, most_recent_burn: 110000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 110000]
Burn sample, txid: d2f71108b4018ffcf4bd493d753b3bdc191b0a473a626e5eda825b520d367975, most_recent_burn: 25000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 25000]
Burn sample, txid: 68bbab3d28f28e0446ea036e12c37b5c5c024e8d5aa085925111538c9df4cd96, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 30000, 30000]
Burn sample, txid: 037c873b7aea16371773eb5d21f4066a940083a5af052b04c473e8a342e0a1b0, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: cbf93aa94b9c4f51f296caa1aa484444df029ca704bc809659c6f699ba37358b, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 11332bcf025c0294135ffc99005842576521456e8ade20e05f2ce941efe4850c, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 30000]
Burn sample, txid: 32c5e9efcd3be7a54c473d7ef96ea7ba637a9875887c19adaff9b211cec06c15, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 30000]
Burn sample, txid: 3a0b832c8c0b3ab4228b99ed6a7246983db43a9e8773a253024324ac716f5f3d, most_recent_burn: 110000, median_burn: 1, all_burns: [1, 1, 1, 1, 110000, 110000]
Burn sample, txid: a284bcfe15e392de8a5c96f63c45b8941f498e5310e4b94c1687295e74ba84ff, most_recent_burn: 30000, median_burn: 15000, all_burns: [1, 1, 1, 30000, 30000, 30000]
Burn sample, txid: 8868be006706f50893fdc315f4102a06851236489c2341b314a6da80c8a7cefa, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 20000, 20000]
Burn sample, txid: 387f1532b7835a5f555268e3e8723a2ed28f62548281b0cae048abdec0958c67, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 30000, 30000]
Burn sample, txid: c343287ab35e692211cb1ae487f87c97816c827755824a2aa81d1eb179ba356e, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 20000, 20000]
Burn sample, txid: 80a384c12a658108b4c8fcd3371f5cfeadd8027d6ae9effdfea972baa73c1e30, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 30000, 30000]
Burn sample, txid: 2b1b8bf1bbb72ecc868a967f476307f3ecf39cb4283e5c93829221691696a3a4, most_recent_burn: 110000, median_burn: 55000, all_burns: [1, 1, 1, 110000, 110000, 110000]
Burn sample, txid: 2d39bae79a9be21faf6377be75727b65decb15c66336a3ef327f4fabfc6437ed, most_recent_burn: 25000, median_burn: 1, all_burns: [1, 1, 1, 1, 25000, 25000]
Burn sample, txid: 05c3f6d53ef9ba465753aa80b6c08b27d129981f3b52e3db4179065d6ad002e2, most_recent_burn: 30000, median_burn: 30000, all_burns: [1, 1, 30000, 30000, 30000, 30000]
Burn sample, txid: 27754ee4a76893df8ac7dd46f66ab591c79fb19c90c5a55428b06f06d1d2dc76, most_recent_burn: 60000, median_burn: 15000, all_burns: [1, 1, 1, 30000, 30000, 60000]
Burn sample, txid: 18c9e55b33c308b2a2ed1c12686576bab739c9f9cbe82167a85b81cdc3693c28, most_recent_burn: 20000, median_burn: 10000, all_burns: [1, 1, 1, 20000, 20000, 20000]
Burn sample, txid: 1355e0895af040363d3aff29abb13d3f46dd85968dd4647828de4929a5ef5992, most_recent_burn: 20000, median_burn: 10000, all_burns: [1, 1, 1, 20000, 20000, 20000]
Burn sample, txid: 850a0949d71d9e80507f0dfbc083711ddd1cbacccfeb9b25811a2d87e061af06, most_recent_burn: 110000, median_burn: 110000, all_burns: [1, 1, 110000, 110000, 110000, 110000]
Burn sample, txid: 9596db7022c096a9fb96e98ffb487684aca70b64eb413cc748e0d36b59cf875b, most_recent_burn: 30000, median_burn: 15000, all_burns: [1, 1, 1, 30000, 30000, 30000]
Burn sample, txid: 4dd984fb32c440712e8ffdbd0110f8245ee90ee0289e2b831b8f0162a78080b9, most_recent_burn: 25000, median_burn: 12500, all_burns: [1, 1, 1, 25000, 25000, 25000]
Burn sample, txid: 9fd6964f6e6fdb408de2654db591bb8fe1531a271edb9bfcf069685dbbc5f6a6, most_recent_burn: 30000, median_burn: 30000, all_burns: [1, 30000, 30000, 30000, 30000, 30000]
Burn sample, txid: 799a1a3b6daf6224599ada0da3622a7ff5673f27d5eb1bb4e16cf08203ad5327, most_recent_burn: 60000, median_burn: 30000, all_burns: [1, 1, 30000, 30000, 60000, 60000]
Burn sample, txid: f429b7a86d68fbee4e6c57c9fa7d6e55ec19b175cdc521d388b4e81b2f9e6978, most_recent_burn: 20000, median_burn: 20000, all_burns: [1, 1, 20000, 20000, 20000, 20000]
Burn sample, txid: 4fb7237413fa6e420021e040d71a19067ff25a4d20a89bdb985aefe23e9930d9, most_recent_burn: 400000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 400000]
Burn sample, txid: 4115e6485fbf4a169899d3f6add29caf99129b19ab744529a788b4f3918812fc, most_recent_burn: 20000, median_burn: 20000, all_burns: [1, 1, 20000, 20000, 20000, 20000]
Burn sample, txid: 7f52dd91e973adfded663fcc8b408a054b5aefd7294f55e013a4dae1f508d01e, most_recent_burn: 60000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 60000]
Burn sample, txid: a72ff3c9952ea2e0d5728a61bc6664c2e74a33ef7b1b51090611cf996f6017b3, most_recent_burn: 110000, median_burn: 110000, all_burns: [1, 110000, 110000, 110000, 110000, 110000]
Burn sample, txid: 2688da255b9579e9c1d9b86432d405e791bbec161273b74bcf20732d8a538504, most_recent_burn: 30000, median_burn: 30000, all_burns: [1, 1, 30000, 30000, 30000, 30000]
Burn sample, txid: 833bee7d451f58a0928b61ef29ffe48945f076061a8e85df8cce1d6780e7a3b8, most_recent_burn: 55000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 55000]
Burn sample, txid: d1778323175771b9d489ead66acd83bb71ef6371a8be86a806b4f9eb2107cc88, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: a6fd710fdb156e391592d7caae13d7aa4135de5bf6e13854311793250902e145, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 9642e92e65d91bca1a43f10b18180a26ead24cb8d43e00251f5fbf36f9c29a59, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 280dded22ad75ae2508db54a01719a9d89ae32a3ec8f046ec4375754684c912c, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: f8035c836dc106e8ad78da2c0ee33c12355c8b26001e98706dc95d466f9cf890, most_recent_burn: 25000, median_burn: 25000, all_burns: [1, 1, 25000, 25000, 25000, 25000]
Burn sample, txid: fd145b11620eb8489fb0df255d0ba6e264e69b258a8f0cb0860daf3a90bccd10, most_recent_burn: 40000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 40000]
